trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
121,False,"{'a': 0.5, 'e': 0.9395}",20,0,-126.39226370518787,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
122,False,"{'a': 0.5, 'e': 0.9390000000000001}",20,0,-31.989438014675628,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.9385}",30,0,-145.18564195491103,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
124,False,"{'a': 0.5, 'e': 0.938}",35,0,-243.95177338290844,"{0: 17, 1: 8, 2: 6, 3: 0, 4: 4}",0
125,False,"{'a': 0.5, 'e': 0.9375}",25,7,-49.719224770414115,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.937}",25,0,-60.292992465044094,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.9365}",20,0,-118.12180069326875,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
128,False,"{'a': 0.5, 'e': 0.9359999999999999}",25,0,-103.79489870406495,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.9355}",30,0,-339.15264839696346,"{0: 11, 1: 6, 2: 6, 3: 1, 4: 6}",0
130,False,"{'a': 0.5, 'e': 0.935}",25,16,10.253875726923411,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.9345}",25,0,-166.70682666952212,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
132,False,"{'a': 0.5, 'e': 0.9339999999999999}",20,0,-125.94371818524567,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
133,False,"{'a': 0.5, 'e': 0.9335}",30,0,-155.8385205370408,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 3}",0
134,False,"{'a': 0.5, 'e': 0.933}",25,8,-68.87842495886258,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.9325}",25,0,-192.74237803303305,"{0: 12, 1: 5, 2: 4, 3: 1, 4: 3}",0
136,False,"{'a': 0.5, 'e': 0.9319999999999999}",25,0,-135.16006190961042,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.9315}",25,2,-141.62274299160822,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 3}",1
138,False,"{'a': 0.5, 'e': 0.931}",20,0,-109.10673414120402,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.9305}",25,0,-67.98274905585104,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-44.59237802533515,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.9295}",20,0,-101.00287372234352,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
142,False,"{'a': 0.5, 'e': 0.929}",20,0,-20.599389912896658,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.9285}",20,0,-98.26840975546395,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
144,False,"{'a': 0.5, 'e': 0.9279999999999999}",20,0,-105.18760164182684,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
145,False,"{'a': 0.5, 'e': 0.9275}",20,0,-167.50598154688873,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
146,False,"{'a': 0.5, 'e': 0.927}",30,0,-81.12916428606651,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
147,False,"{'a': 0.5, 'e': 0.9265}",25,11,-2.1615182137287245,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.926}",25,0,-104.76442826640725,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.9255}",25,0,-47.90284889032614,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.925}",25,0,-79.51621298314694,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
